127.0.0.1 - - [06/Dec/2023:12:58:16 -0300] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:11:57 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:11:57 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:35 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:35 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:35 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:35 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:35 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:35 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:36 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:36 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:36 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:36 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:36 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:36 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:38 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:38 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:38 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:38 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:38 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:38 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:39 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:39 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:39 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:39 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:39 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:39 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:41 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:41 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:41 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:41 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:41 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:41 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:43 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:43 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:43 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:43 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:43 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:43 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:59 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:59 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:59 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:59 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:59 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:12:59 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:02 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:02 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:02 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:02 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:02 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:02 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:03 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:03 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:03 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:03 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:03 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:03 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:04 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:04 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:04 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:04 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:04 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:04 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:59 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:59 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:59 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:59 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:59 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:13:59 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:01 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:01 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:01 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:01 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:01 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:01 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:01 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:01 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:01 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:01 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:01 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:01 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:02 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:02 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:02 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:02 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:02 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:02 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:03 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:03 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:03 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:03 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:03 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:03 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:04 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:04 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:04 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:04 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:04 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:04 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:05 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:05 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:05 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:05 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:05 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:05 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:07 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:07 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:07 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:07 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:07 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:14:07 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:07 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:07 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:07 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:07 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:07 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:07 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:08 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:08 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:08 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:08 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:08 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:08 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:09 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:09 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:09 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:09 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:09 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:15:09 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:04 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:04 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:04 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:04 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:04 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:04 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:04 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:04 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:04 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:04 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:04 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:04 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:24 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:25 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:25 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:25 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:25 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:25 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:26 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:26 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:26 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:26 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:26 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:25:26 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:44 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:44 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:44 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:44 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:44 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:44 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:45 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:45 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:45 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:45 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:45 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:45 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:47 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:47 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:47 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:47 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:47 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:47 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:47 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:48 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:27:48 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
