0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:33 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:34 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:34 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:34 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:42 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:42 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:42 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:42 -0300] "GET /arcoiris/js/book.js HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:42 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:42 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:43 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:43 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:43 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:45 -0300] "GET /arcoiris/rest/book/getAllBooksCategory?fkcategory=3 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:47 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:48 -0300] "GET /arcoiris/rest/book/getAllBooksCategory?fkcategory=3 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:49 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:50 -0300] "GET /arcoiris/rest/book/getAllBooksCategory?fkcategory=2 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:53 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:54 -0300] "GET /arcoiris/rest/book/getAllBooksCategory?fkcategory=1 HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:55 -0300] "GET /arcoiris/rest/book/getAllBooksCategory?fkcategory=2 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:57 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:08:58 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:11:51 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:11:51 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:11:51 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:11:51 -0300] "GET /arcoiris/js/book.js HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:11:51 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:11:51 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:11:51 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:11:51 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:11:51 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:19 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:19 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:19 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:19 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:19 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:19 -0300] "GET /arcoiris/js/book.js HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:19 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:12:19 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
